"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SimonYuSEA All restaurants, Simon logon to Grubhub or Uber Eats, you will get all the names !! @stormxio",FALSE,0,"SimonYuSEA",2021-03-25 03:29:50,FALSE,"1374765946934415360","1374926470762672129","4918059373","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BhaskarRaoMD",0,FALSE,FALSE,NA,NA
"2","RT @_yaasielpuig: please bump + donate❗️

send some of your stimulus money to Nikkole. she starts school Mar 29 &amp; doesnt have access to saf…",FALSE,0,NA,2021-03-25 03:29:46,FALSE,NA,"1374926453922480130",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2boifriends",33,TRUE,FALSE,NA,NA
"3","RT @_yaasielpuig: please bump + donate❗️

send some of your stimulus money to Nikkole. she starts school Mar 29 &amp; doesnt have access to saf…",FALSE,0,NA,2021-03-25 03:29:42,FALSE,NA,"1374926439904997376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zzzroadkill",33,TRUE,FALSE,NA,NA
"4","Anytime i get in a uber or sum these mfs always got they check engine light on",FALSE,0,NA,2021-03-25 03:29:40,FALSE,NA,"1374926431784931328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phat27_",0,FALSE,FALSE,NA,NA
"5","RT @cocojournalist: Bloomberg Scoop: Chinese ride-sharing giant ⁦⁦@DidiChuxingCo⁩ is said to launch services in UK, Germany and France by H…",FALSE,0,NA,2021-03-25 03:29:34,FALSE,NA,"1374926407026024449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xbrochart",10,TRUE,FALSE,NA,NA
"6","@ghosd1 We're here to help. We've followed up via DM.",FALSE,0,"ghosd1",2021-03-25 03:29:33,FALSE,"1374923542429491204","1374926401158193154","97503287","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"7","RT @jspriggsworld: Ya know what I love??? 

A quiet ass Uber driver.",FALSE,0,NA,2021-03-25 03:29:32,FALSE,NA,"1374926396758368262",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1lysaa",13,TRUE,FALSE,NA,NA
"8","@ChetaanNT @Uber @Uber_Support @Uber_BLR Uber is not paying fair charges to there partners thaty there partners do… https://t.co/6MD4ZKKGEr",FALSE,0,"ChetaanNT",2021-03-25 03:29:24,TRUE,"1374888542913069056","1374926363065344000","1312279253564575746","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","samanyamanus1",0,FALSE,FALSE,NA,NA
"9","RT @nypost: Two teen girls charged with murder in carjacking death of Uber Eats driver https://t.co/8MzG2YqAA0 https://t.co/63EF1XROhd",FALSE,0,NA,2021-03-25 03:29:23,FALSE,NA,"1374926360590815232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drivingwhileid1",38,TRUE,FALSE,NA,NA
"10","@rachsyme I think the happiest memory I have was wandering around Stockholm in late afternoon/evening after my flig… https://t.co/mcd5qPzQc6",FALSE,0,"rachsyme",2021-03-25 03:29:17,TRUE,"1374922863040471059","1374926335215169543","6931262","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","g4yp0pst4n",0,FALSE,FALSE,NA,NA
"11","We have really been sitting in the parking lot for 10 minutes while my friend searches the emptied contents of her… https://t.co/l1RmpB4j1Q",FALSE,0,NA,2021-03-25 03:29:15,TRUE,NA,"1374926325765570561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rebeccacardo",0,FALSE,FALSE,NA,NA
"12","@Uber_Support This is the THIRD time I’ve submitted this request, we’ll see if anyone responds THIS time. https://t.co/zZOSoEKcix",FALSE,0,"ChrisAF65002304",2021-03-25 03:29:07,FALSE,"1374925177868402688","1374926292643102728","1329837100670345224","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChrisAF65002304",0,FALSE,FALSE,NA,NA
"13","RT @_yaasielpuig: please bump + donate❗️

send some of your stimulus money to Nikkole. she starts school Mar 29 &amp; doesnt have access to saf…",FALSE,0,NA,2021-03-25 03:29:01,FALSE,NA,"1374926265275273218",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theysbian",33,TRUE,FALSE,NA,NA
"14","@lennythepen @DDDaughters Uber obviously paid for the privilege when tfl should be neutral in theses matters it’s o… https://t.co/4ExM7DRdoa",FALSE,0,"lennythepen",2021-03-25 03:28:59,TRUE,"1374789095738781702","1374926258883158020","2949599883","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","winchmoreman",0,FALSE,FALSE,NA,NA
