"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MattWalshBlog: The media made a much, MUCH bigger deal out of a white kid smiling at a Native American in DC than they did about two bl…",FALSE,0,NA,2021-03-29 00:46:28,FALSE,NA,"1376334909372035074",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MichaelRMateyk",1592,TRUE,FALSE,NA,NA
"2","RT @jordylancaster: Here is the fundraiser for the family of 66-year-old Mohammad Anwar, the Uber Eats driver who was brutally murdered by…",FALSE,0,NA,2021-03-29 00:46:27,FALSE,NA,"1376334907044159490",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_jsandhu",4639,TRUE,FALSE,NA,NA
"3","RT @LesleyAnnBrandt: Rest In Peace #MohammadAnwar 66 years old. Uber eats driver car jacked by two teenage girls. Dragged and killed. This…",FALSE,0,NA,2021-03-29 00:46:26,FALSE,NA,"1376334904196206592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","siIklbs",731,TRUE,FALSE,NA,NA
"4","RT @trtworld: A Pakistani-American Uber Eats driver was killed when two girls aged 13 and 15 tried to carjack his car in Washington DC http…",FALSE,0,NA,2021-03-29 00:46:18,FALSE,NA,"1376334869949734915",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ersamadel",1632,TRUE,FALSE,NA,NA
"5","uber for drag races",FALSE,0,NA,2021-03-29 00:46:16,FALSE,NA,"1376334861737336838",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","Uber_For_X",0,FALSE,FALSE,NA,NA
"6","RT @KhaledBeydoun: Muhammad Anwar,a 65 year old Pakistani Muslim immigrant and Uber Eats Driver, was carjacked and murdered by two teens in…",FALSE,0,NA,2021-03-29 00:46:16,FALSE,NA,"1376334858679693313",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cam294cam",3681,TRUE,FALSE,NA,NA
"7","RT @MsJR88: Mohammad Anwar was murdered by a 13 &amp; 15 year old while working for Uber Eats. His life mattered. I won’t post the video becaus…",FALSE,0,NA,2021-03-29 00:46:15,FALSE,NA,"1376334854938329090",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheMSeries1",2599,TRUE,FALSE,NA,NA
"8","Lol imma come out of my house looking like a bum while my Uber eats arrived 😂",FALSE,0,NA,2021-03-29 00:46:14,FALSE,NA,"1376334850647420937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gina_817",0,FALSE,FALSE,NA,NA
"9","RT @AsmaMaloumiDYP: yesterday two teens in DC attempted to hijack a pakistani uber driver’s car &amp; crashed it. the video shows his body lyin…",FALSE,0,NA,2021-03-29 00:46:13,FALSE,NA,"1376334847132717056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","naqvi",420,TRUE,FALSE,NA,NA
"10","RT @JackPosobiec: Not even @Uber and it was their own driver",FALSE,0,NA,2021-03-29 00:46:13,FALSE,NA,"1376334846537138176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SCDisme",1520,TRUE,FALSE,NA,NA
"11","RT @marklutchman: Two black teenage girls carjacked an Uber driver and he died defending his property.

CNN called this an “accident.” 

Th…",FALSE,0,NA,2021-03-29 00:46:12,FALSE,NA,"1376334843198459906",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","royalbluesmiles",2854,TRUE,FALSE,NA,NA
"12","RT @MattWalshBlog: The media made a much, MUCH bigger deal out of a white kid smiling at a Native American in DC than they did about two bl…",FALSE,0,NA,2021-03-29 00:46:09,FALSE,NA,"1376334831546732547",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeahlSusan",1592,TRUE,FALSE,NA,NA
"13","RT @_SJPeace_: Mohammad, Anwar- a frontline HERO was killed in an attempted car hijacking by 2 teenage girls

This 66 year old man immigrat…",FALSE,0,NA,2021-03-29 00:46:08,FALSE,NA,"1376334828023463940",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darkieee_",3002,TRUE,FALSE,NA,NA
"14","RT @nazninaaaa: Nope that video of the Uber driver Mohammed Anwar has made me sick to my stomach, the fact the girl was more worried about…",FALSE,0,NA,2021-03-29 00:46:07,FALSE,NA,"1376334822570819587",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElyanieEzana",1887,TRUE,FALSE,NA,NA
"15","RT @JackPosobiec: Help the Anwars Find Peace

Fundraiser for the Family of the Uber Eats Driver Murdered in DC Navy Yard 
https://t.co/mbyk…",FALSE,0,NA,2021-03-29 00:46:06,FALSE,NA,"1376334820112928773",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miss_eIIe",2887,TRUE,FALSE,NA,NA
"16","@Uber Hey @Uber &amp; @UberEats, as one of your drivers your complete silence on one of us being murdered, while workin… https://t.co/iogzTzHmUf",FALSE,0,"Uber",2021-03-29 00:46:06,TRUE,"1375133688908947456","1376334819399888896","19103481","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeffryanrobins1",0,FALSE,FALSE,NA,NA
"17","RT @RCamposDuffy: These girls were 13 &amp; 15 yrs old. They killed a hard working immigrant grandpa trying to make extra $ for his family as a…",FALSE,0,NA,2021-03-29 00:46:03,FALSE,NA,"1376334806355566592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicoledailey17",338,TRUE,FALSE,NA,NA
"18","RT @xAsiaLynnx: @AnaSofaKingCoo see nah I would’ve been to the restaurant like “I’ll uber home I don’t even want my extra weight to further…",FALSE,0,NA,2021-03-29 00:46:02,FALSE,NA,"1376334800550780933",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnaSofaKingCoo",1,TRUE,FALSE,NA,NA
"19","RT @MattWalshBlog: The media made a much, MUCH bigger deal out of a white kid smiling at a Native American in DC than they did about two bl…",FALSE,0,NA,2021-03-29 00:46:01,FALSE,NA,"1376334799317647371",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dickson_megan",1592,TRUE,FALSE,NA,NA
"20","RT @nypost: DC mayor issues tone deaf tweet in wake of Uber driver death https://t.co/snCmCte2y5 https://t.co/n4BTqg7Qpv",FALSE,0,NA,2021-03-29 00:46:00,FALSE,NA,"1376334793969958913",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bobataustin",147,TRUE,FALSE,NA,NA
"21","RT @nazninaaaa: Nope that video of the Uber driver Mohammed Anwar has made me sick to my stomach, the fact the girl was more worried about…",FALSE,0,NA,2021-03-29 00:46:00,FALSE,NA,"1376334793940430849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_mhdfaizali",1887,TRUE,FALSE,NA,NA
"22","RT @JeffPassan: Dobnak, 26, is an amazing story. Undrafted out of Alderson Broaddus University in West Virginia, Dobnak signed with the Twi…",FALSE,0,NA,2021-03-29 00:45:58,FALSE,NA,"1376334785656852482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yankees666",229,TRUE,FALSE,NA,NA
