"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Uber_Support Thank you 🙏🏾",FALSE,0,"Uber_Support",2021-03-29 18:30:39,FALSE,"1376600626524794885","1376602722145820677","2815754953","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Genje_n",0,FALSE,FALSE,NA,NA
"2","Uber Eats getting away with murder emailing discount codes that don’t even work, absolute buffoonery",FALSE,0,NA,2021-03-29 18:30:36,FALSE,NA,"1376602709516779523",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DylanMckenzy",0,FALSE,FALSE,NA,NA
"3","RT @DavidJHarrisJr: 2 Young girls murder Uber eats driver, Muriel Bowser blames the victim.
https://t.co/4aV5crgxi1",FALSE,0,NA,2021-03-29 18:30:36,FALSE,NA,"1376602706882789380",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoyoteV8_",303,TRUE,FALSE,NA,NA
"4","RT @trtworld: A Pakistani-American Uber Eats driver was killed when two girls aged 13 and 15 tried to carjack his car in Washington DC http…",FALSE,0,NA,2021-03-29 18:30:34,FALSE,NA,"1376602700423520257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pink_BLINK22",1846,TRUE,FALSE,NA,NA
"5","RT @MatthewT8439488: Thoughts on the death of Muhammad Anwar:

1/3 Why aren't the press, mayor, govt, celebs and Uber speaking about him?…",FALSE,0,NA,2021-03-29 18:30:34,FALSE,NA,"1376602698594799616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BranMSmith",2,TRUE,FALSE,NA,NA
"6","#DYK your personal #autoinsurance policy will not cover if you’re using your car as a LYFT or UBER vehicle?… https://t.co/cCq8usOITn",FALSE,0,NA,2021-03-29 18:30:33,TRUE,NA,"1376602697118400515",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Curtis_Ins",0,FALSE,FALSE,NA,NA
"7","RT @AsmaMaloumiDYP: yesterday two teens in DC attempted to hijack a pakistani uber driver’s car &amp; crashed it. the video shows his body lyin…",FALSE,0,NA,2021-03-29 18:30:28,FALSE,NA,"1376602675505156100",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angstybooknerd",2970,TRUE,FALSE,NA,NA
"8","RT @MsJR88: Mohammad Anwar was murdered by a 13 &amp; 15 year old while working for Uber Eats. His life mattered. I won’t post the video becaus…",FALSE,0,NA,2021-03-29 18:30:28,FALSE,NA,"1376602675307970565",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flexpreet_24",3671,TRUE,FALSE,NA,NA
"9","RT @KhaledBeydoun: Muhammad Anwar,a 65 year old Pakistani Muslim immigrant and Uber Eats Driver, was carjacked and murdered by two teens in…",FALSE,0,NA,2021-03-29 18:30:28,FALSE,NA,"1376602675094159362",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","safeand_sound13",4171,TRUE,FALSE,NA,NA
"10","Uber and Lyft said they would help cut traffic and pull more riders into public transit. Instead, they did the oppo… https://t.co/fk9BE80vRC",FALSE,0,NA,2021-03-29 18:30:24,TRUE,NA,"1376602660112113674",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimesbusiness",0,FALSE,FALSE,NA,NA
"11","RT @vsshole: uber eats guy is spaming my text mdasgaes becase im to scared to go out side why cant he just go away hes yelling mean things…",FALSE,0,NA,2021-03-29 18:30:24,FALSE,NA,"1376602656962191364",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","polliwog",8,TRUE,FALSE,NA,NA
"12","£10 off your next 2 orders with UberEats
Use code at checkout: eats-ayeshak48dui   #ubereatsuk #ubereats #uber #promo #discount",FALSE,0,NA,2021-03-29 18:30:22,FALSE,NA,"1376602650414878725",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ayesha30121010",0,FALSE,FALSE,NA,NA
"13","RT @AsmaMaloumiDYP: yesterday two teens in DC attempted to hijack a pakistani uber driver’s car &amp; crashed it. the video shows his body lyin…",FALSE,0,NA,2021-03-29 18:30:22,FALSE,NA,"1376602649081081863",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ytddannu",2970,TRUE,FALSE,NA,NA
"14","RT @_SJPeace_: Mohammad, Anwar- a frontline HERO was killed in an attempted car hijacking by 2 teenage girls

This 66 year old man immigrat…",FALSE,0,NA,2021-03-29 18:30:20,FALSE,NA,"1376602643553005575",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laila_tabatabai",4559,TRUE,FALSE,NA,NA
"15","RT @Keubiko: Maybe I'm missing something, but the ARK ""Space Exploration ETF"" includes Meituan, the Uber Eats of China.  Do they even know…",FALSE,0,NA,2021-03-29 18:30:19,FALSE,NA,"1376602637492219909",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","GordonMoat",59,TRUE,FALSE,NA,NA
