"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Joeingram1: Only in Vegas will your Uber driver give you a shot of Fireball and a weed brownie at 4 in the afternoon on a Monday",FALSE,0,NA,2021-03-24 18:42:40,FALSE,NA,"1374793807624032265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smoothjimyapolo",74,TRUE,FALSE,NA,NA
"2","2 hours and no one has answered my questions or tried to help. Just shows what kind of company you are. @UberEats… https://t.co/rkmFFXZ14K",FALSE,0,NA,2021-03-24 18:42:40,TRUE,NA,"1374793804792930305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheExhaustedMom",0,FALSE,FALSE,NA,NA
"3","RIP Pheidippides. I know he would’ve loved @Uber",FALSE,0,NA,2021-03-24 18:42:35,FALSE,NA,"1374793785046147076",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abbiwilt",0,FALSE,FALSE,NA,NA
"4","@DarethPray Omg what a psycho! This one was also trying really hard to get me to tell him my real name and not my p… https://t.co/wbQ8A08HAp",FALSE,0,"DarethPray",2021-03-24 18:42:34,TRUE,"1374750126154125313","1374793779081846785","1357776888949800966","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoirHayes",0,FALSE,FALSE,NA,NA
"5","@jasonpee24 We understand your concerns. We've followed up via DM.",FALSE,0,"jasonpee24",2021-03-24 18:42:32,FALSE,"1374787487185391620","1374793771045564422","1365803721792368643","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"6","got denied my starbucks order by uber eats https://t.co/tmOAGDOvvL",FALSE,0,NA,2021-03-24 18:42:31,FALSE,NA,"1374793770336665608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pikalouis",0,FALSE,FALSE,NA,NA
"7","RT @findoutinperson: Message to self everyday- 

“When your accountant tells you, you’ve spent 30k+ on Uber Eats in a year; you might have…",FALSE,0,NA,2021-03-24 18:42:31,FALSE,NA,"1374793768600281090",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShottaBlvck",1,TRUE,FALSE,NA,NA
"8","RT @arsenemustgo: Über general uk managers since 2012,Jo Bertram,lied in court to get Uber Licensed,Replaced by Tom elvidge,also lied in co…",FALSE,0,NA,2021-03-24 18:42:28,FALSE,NA,"1374793757481168896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neiljohnson1974",20,TRUE,FALSE,NA,NA
"9","@annielogue @dlblumberg @offense_dept @StacyRalph2 And many, at least at Uber and Lyft, would lose their work under… https://t.co/aLSabRvlrl",FALSE,0,"annielogue",2021-03-24 18:42:26,TRUE,"1374772867926265865","1374793746999558146","18217860","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ErikSherman",0,FALSE,FALSE,NA,NA
"10","Is anyone else having extreme difficulty getting an Uber and Lyft these days?",FALSE,0,NA,2021-03-24 18:42:25,FALSE,NA,"1374793741467279363",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cloudycarrie",0,FALSE,FALSE,NA,NA
