"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @dakami: Amazon and Uber are actually in a position to advocate for bathroom access for people who leave their home. I mean, it’s hilari…",FALSE,0,NA,2021-03-27 00:46:07,FALSE,NA,"1375610045564661762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yetanotherskip",22,TRUE,FALSE,NA,NA
"2","RT @LeanandCuisine: How talkative Uber and Lyft drivers really be 💀 https://t.co/7sQwryg6kN",FALSE,0,NA,2021-03-27 00:46:00,FALSE,NA,"1375610015994667009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peaceissfree",422,TRUE,FALSE,NA,NA
"3","When the Uber is a old towncar limo I'm mean the price was high but I guess it balance out lol 🤣 https://t.co/EKhe7mBYsW",FALSE,0,NA,2021-03-27 00:45:52,FALSE,NA,"1375609983417585667",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NoelElMagnifico",0,FALSE,FALSE,NA,NA
"4","@politklwaitress @batfazturd Now @PeteButtigieg wants to totally screw NYC further too! The yellow cabs were screwe… https://t.co/hrKKwK3HHM",FALSE,0,"politklwaitress",2021-03-27 00:45:44,TRUE,"1375476472190705670","1375609950362345472","4497579688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spideesense1",0,FALSE,FALSE,NA,NA
"5","RT @madhukishwar: My 5.43 pm trip to Ansal Villas by @Uber mentioned Vashishth as the name.of the driver.
But the driver who came was Asif…",FALSE,0,NA,2021-03-27 00:45:44,FALSE,NA,"1375609949942771715",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soumya25asus",444,TRUE,FALSE,NA,NA
"6","@QueenMab87 What about people who make a living from driving? Uber Eats. DoorDash. Etc. These people have to pay more just to work?",FALSE,0,"QueenMab87",2021-03-27 00:45:33,FALSE,"1375600012063862786","1375609902693896195","2849102111","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MilkPorkWaffle",0,FALSE,FALSE,NA,NA
"7","uber for baseballs",FALSE,0,NA,2021-03-27 00:45:33,FALSE,NA,"1375609902555627521",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","Uber_For_X",0,FALSE,FALSE,NA,NA
"8","RT @BucyForTexas: The change in language in SB 7 re forms for people who drive 3+ voters to the polls looks like SB 9 from 2019. 

As I sai…",FALSE,0,NA,2021-03-27 00:45:29,FALSE,NA,"1375609886839476224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arcillahumeda",18,TRUE,FALSE,NA,NA
"9","Even the Uber driver is pissing me off okay",FALSE,0,NA,2021-03-27 00:45:26,FALSE,NA,"1375609873950457858",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DiorSwae",0,FALSE,FALSE,NA,NA
"10","RT @FOXBaltimore: Two boys, age 13 or 14, are charged with carjacking someone at knifepoint in DC.

It's the second time this week in the c…",FALSE,0,NA,2021-03-27 00:45:23,FALSE,NA,"1375609864387452928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","budbudabur",3,TRUE,FALSE,NA,NA
"11","@ImmortalSynn @PatTheBerner For example: you could require Uber to pay the mileage tax of their drivers.",FALSE,0,"ImmortalSynn",2021-03-27 00:45:23,FALSE,"1375607369816662020","1375609863166779396","21892505","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","johnlengacher",0,FALSE,FALSE,NA,NA
"12","RT @samgryn: @UberEats driver came for a delivery and left!! But not before taking a piss in my stairwell!! #disgusting #UberEats #ubereats…",FALSE,0,NA,2021-03-27 00:45:23,FALSE,NA,"1375609862571356160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joseluismarcil5",5,TRUE,FALSE,NA,NA
"13","@JasonReidUK Uber annoying!

It's similar to people saying ""I can't be asked"", it's arsed...you ARSE! 😂",FALSE,0,"JasonReidUK",2021-03-27 00:45:22,FALSE,"1375608395546365952","1375609856539955200","19439467","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riteoffittage",0,FALSE,FALSE,NA,NA
"14","RT @madhukishwar: My 5.43 pm trip to Ansal Villas by @Uber mentioned Vashishth as the name.of the driver.
But the driver who came was Asif…",FALSE,0,NA,2021-03-27 00:45:19,FALSE,NA,"1375609845710155783",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PRASADS52562145",444,TRUE,FALSE,NA,NA
"15","The winners are Rosé and Kandy! Each won $2,500 worth of Anastasia Beverly Hills makeup and as a surprise, Rosé and… https://t.co/NiDKgHQIoR",FALSE,1,"SeanPrevil",2021-03-27 00:45:18,TRUE,"1375609746292629512","1375609841025179649","15021381","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SeanPrevil",0,FALSE,FALSE,NA,NA
"16","@Bisticks82 Thanks for reaching out. Please send us a DM with the phone number associated with your Uber account, s… https://t.co/NrkBqO9LvO",FALSE,0,"Bisticks82",2021-03-27 00:45:10,TRUE,"1375601084199280644","1375609806950690816","3613361181","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"17","Hey, uh, @SecretaryPete? This is an awful idea. You'd be punishing people who live far away from work and COMPLETEL… https://t.co/GTAQUUJkE2",FALSE,0,NA,2021-03-27 00:44:58,TRUE,NA,"1375609759227858945",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CheezyAtEase",0,FALSE,FALSE,NA,NA
"18","Hey, sorry I’ve been inactive today. Went out with my nana to do Uber Eats so the both of us could get out of the h… https://t.co/E1nePG0mD8",FALSE,0,NA,2021-03-27 00:44:53,TRUE,NA,"1375609737216192513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k_zaala",0,FALSE,FALSE,NA,NA
"19","I want some tootsies wings they don’t have that on Uber",FALSE,0,NA,2021-03-27 00:44:51,FALSE,NA,"1375609730282962945",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sensitivehottie",0,FALSE,FALSE,NA,NA
"20","@kingschicagmai1 We definitely want to get this sorted out. In order to best assist you with this, according to our… https://t.co/vUrvVtkRFg",FALSE,0,"kingschicagmai1",2021-03-27 00:44:47,TRUE,"1375603386981216258","1375609710381051905","1288254312376864770","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"21","@LacieLaPlante Uber no longer seems to have drivers period. While I was in Vegas, it was a nightmare trying to get… https://t.co/bHgnccS7Lj",FALSE,0,"LacieLaPlante",2021-03-27 00:44:46,TRUE,"1375262610954674176","1375609709340864516","190937575","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SkyisWilde",0,FALSE,FALSE,NA,NA
"22","it’s no way i just threw up in this man Uber 😩",FALSE,0,NA,2021-03-27 00:44:46,FALSE,NA,"1375609708766097409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dekaybaby",0,FALSE,FALSE,NA,NA
"23","RT @BucyForTexas: The change in language in SB 7 re forms for people who drive 3+ voters to the polls looks like SB 9 from 2019. 

As I sai…",FALSE,0,NA,2021-03-27 00:44:45,FALSE,NA,"1375609701866610691",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Castro4Congress",18,TRUE,FALSE,NA,NA
"24","RT @dms_out: been ordering Uber eats here &amp; there on my ex card he left on my Uber app or so i thought..turns out i just been charging one…",FALSE,0,NA,2021-03-27 00:44:43,FALSE,NA,"1375609695537410050",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ebmadi",17,TRUE,FALSE,NA,NA
