"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @drarry_175: ศลปที่กุติ่งคือแซ่บนะ
ทรอย: i bloom just for you
แฟรงค์โอเชี่ยน: boy toy ride me like an uber
แนสx:shoot a child in your mo…",FALSE,0,NA,2021-03-26 09:19:46,FALSE,NA,"1375376921836449792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssarttaku_",80,TRUE,FALSE,NA,NA
"2","Favourite fast food just got faster as Uber Eats app expands to Workington
https://t.co/iMGPU0BQuP https://t.co/gLXg9eC7DW",FALSE,0,NA,2021-03-26 09:19:34,FALSE,NA,"1375376874059272192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","newsandstar",0,FALSE,FALSE,NA,NA
"3","@Uber_Support Before returning the lost item support was all the time in contact with me. After a return it they cl… https://t.co/KSX6QaGL2N",FALSE,0,"Uber_Support",2021-03-26 09:19:20,TRUE,NA,"1375376815099944960","2815754953","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cafernandz",0,FALSE,FALSE,NA,NA
"4","@DrCelineFitz Hi Celine, we've responded to your DM.",FALSE,0,"DrCelineFitz",2021-03-26 09:19:02,FALSE,"1375369948810330113","1375376740650999809","169688999","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"5","RT @Gidi_Traffic: “@dubslaguard: @Gidi_Traffic 
This vehicle was stolen from an uber/bolt driver. The owner has locked him up for this. Ple…",FALSE,0,NA,2021-03-26 09:18:41,FALSE,NA,"1375376650972581893",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maangic",22,TRUE,FALSE,NA,NA
"6","RT @BenBergquam: Breaking: More of the Cartel Uber in action in McAllen Texas, thanks to Open Borders Democrats! 
@RealAmVoice 
https://t.c…",FALSE,0,NA,2021-03-26 09:18:39,FALSE,NA,"1375376642986627074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","squarter11",156,TRUE,FALSE,NA,NA
"7","Chyle idk which gon be more bumpy this Uber or my plane I got a damn headache 🙄",FALSE,0,NA,2021-03-26 09:18:36,FALSE,NA,"1375376630437273603",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yamajesty_2_YOU",0,FALSE,FALSE,NA,NA
"8","RT @HipHopxHotspot: MadeInTYO | Uber Everywhere {Remix} (feat. Travis Scott) https://t.co/7qgeaYVvUE",FALSE,0,NA,2021-03-26 09:18:23,FALSE,NA,"1375376575906992128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Steezydxm",225,TRUE,FALSE,NA,NA
"9","Overwhelmed during Spring Break, Uber in Miami is trying desperately to get their drivers back on the road again po… https://t.co/zNHHvDRWrU",FALSE,0,NA,2021-03-26 09:18:15,TRUE,NA,"1375376543258701824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","30kmillionMIA",0,FALSE,FALSE,NA,NA
"10","RT @abhinavsarkaar: @Uber_Support so for these kind of drivers you asked for charity...? https://t.co/RPMge0uI48",FALSE,0,NA,2021-03-26 09:18:10,FALSE,NA,"1375376520513003524",NA,"<a href=""https://vchima.com"" rel=""nofollow"">test-shield-bot</a>","ShieldVoC",1,TRUE,FALSE,NA,NA
"11","RT @lincnotfound: uber eats: your cheeseburger and small fry from five guys is arriving

me: ok

farmer bill [smashing tractor through livi…",FALSE,0,NA,2021-03-26 09:18:02,FALSE,NA,"1375376486874574849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Conchvegas1",10,TRUE,FALSE,NA,NA
"12","@mehtahansal @baradwajrangan Sir he has always been a uber cool person. Age is just a number for him. I want to see… https://t.co/SriDlYZur3",FALSE,0,"mehtahansal",2021-03-26 09:17:54,TRUE,"1375339778191728640","1375376453097779205","29385549","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","varun_blues",0,FALSE,FALSE,NA,NA
"13","RT @Badman_papi: Police stopped the Uber I entered 

Police: Stop and Search, come down

Me: Okay

P: Na you get this Laptop?

M: Yes sir…",FALSE,0,NA,2021-03-26 09:17:52,FALSE,NA,"1375376444956741632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheMosesA",1,TRUE,FALSE,NA,NA
