"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ayo_juliaaa Im also having Uber eats order issues :P",FALSE,0,"ayo_juliaaa",2021-03-27 18:27:59,FALSE,"1375877077602291714","1375877272603926532","2998672925","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shutupmaddison",0,FALSE,FALSE,NA,NA
"2","@Daddy_Nomso Uber whey dey ball

Ubermayang.",FALSE,0,"Daddy_Nomso",2021-03-27 18:27:57,FALSE,"1375808214080614400","1375877265322614784","1083496151289073666","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2much_opoTBdope",0,FALSE,FALSE,NA,NA
"3","FREE £10 OFF YOUR FIRST TWO UBER EATS (UK) ORDERS!
TOTAL £20 OFF!!

Use code: eats-husp14ue

- For new customers on… https://t.co/qHv4gFDL3R",FALSE,0,NA,2021-03-27 18:27:56,TRUE,NA,"1375877261468053511",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UBEREATSPROMO3",0,FALSE,FALSE,NA,NA
"4","My Uber is playing “New York state of mind” lol",FALSE,0,"shannonmstirone",2021-03-27 18:27:55,FALSE,"1375873359041290242","1375877256636063746","2707961760","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shannonmstirone",0,FALSE,FALSE,NA,NA
"5","Just a heads up, when @Uber says “every” ride....they’re lying. They don’t seem interested in correcting the wordin… https://t.co/4B9MqKxYHf",FALSE,0,NA,2021-03-27 18:27:53,TRUE,NA,"1375877250164346883",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kristenislively",0,FALSE,FALSE,NA,NA
"6","@CoZSkiiies47 @denzeldion @Uber What's your point? That doesn't justify him stealing Denzel's wallet. And Denzel sa… https://t.co/qD2TJheTLK",FALSE,0,"CoZSkiiies47",2021-03-27 18:27:49,TRUE,"1375858206484889602","1375877233496178690","1637428626","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sparkleyp7",0,FALSE,FALSE,NA,NA
"7","FREE £10 OFF YOUR FIRST TWO UBER EATS (UK) ORDERS!
TOTAL £20 OFF!!

Use code: eats-husp14ue

- For new customers on… https://t.co/OowJuhyEHN",FALSE,0,NA,2021-03-27 18:27:48,TRUE,NA,"1375877227032764416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UBEREATSPROMO3",0,FALSE,FALSE,NA,NA
"8","RT @ACGalley: What's up with @Uber_Support. Stranded daughter has been bumped off my family profile. She's standing at the side of the road…",FALSE,0,NA,2021-03-27 18:27:43,FALSE,NA,"1375877208057782275",NA,"<a href=""https://vchima.com"" rel=""nofollow"">test-shield-bot</a>","ShieldVoC",1,TRUE,FALSE,NA,NA
"9","RT @Daddy_Nomso: Na Uber Man wey get Socket dey collect 5 star ratings &amp; heavy tips 💪

This Lagos 😭😂 https://t.co/EkygfV7Sxc",FALSE,0,NA,2021-03-27 18:27:36,FALSE,NA,"1375877179444187140",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ninma18",2646,TRUE,FALSE,NA,NA
"10","RT @trtworld: A Pakistani-American Uber Eats driver was killed when two girls aged 13 and 15 tried to carjack his car in Washington DC http…",FALSE,0,NA,2021-03-27 18:27:34,FALSE,NA,"1375877169176449024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","23mucho",257,TRUE,FALSE,NA,NA
