"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @mballance: @benedictevans 6 months ago I left NYC and went Baja, MX for 8 days and never left 😅

I usually can't get an Uber, I constan…",FALSE,0,NA,2021-03-28 18:27:30,FALSE,NA,"1376239542806646785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leaderqueen",1,TRUE,FALSE,NA,NA
"2","RT @RCamposDuffy: These girls were 13 &amp; 15 yrs old. They killed a hard working immigrant grandpa trying to make extra $ for his family as a…",FALSE,0,NA,2021-03-28 18:27:29,FALSE,NA,"1376239535688974342",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","erikkaminski",126,TRUE,FALSE,NA,NA
"3","RT @october23rdd: My dad is an Uber driver &amp; every other week he comes home to tell us about bad experience he’s had with customers. Whethe…",FALSE,0,NA,2021-03-28 18:27:28,FALSE,NA,"1376239532656447492",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AkshT0",902,TRUE,FALSE,NA,NA
"4","@Uber why can’t I EVER get a driver in Memphis anymore? It’s really bad here. Where are your drivers?",FALSE,0,"Uber",2021-03-28 18:27:27,FALSE,NA,"1376239527782678533","19103481","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","B29845967",0,FALSE,FALSE,NA,NA
"5","RT @gtconway3d: I'm amazed that the video of the carjacking and felony murder of the Uber Eats driver outside Nationals Park hasn't gotten…",FALSE,0,NA,2021-03-28 18:27:26,FALSE,NA,"1376239524146257921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohnAStewart7",1467,TRUE,FALSE,NA,NA
"6","RT @FlorioGina: I know plenty of people—many of them family members, including my father—who grew up in broken, abusive, neglectful homes.…",FALSE,0,NA,2021-03-28 18:27:24,FALSE,NA,"1376239514168004617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","douglaslloyd5",119,TRUE,FALSE,NA,NA
"7","Uber drivers are the only people in America who need an AR-15.",FALSE,0,NA,2021-03-28 18:27:23,FALSE,NA,"1376239511433322497",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ncultra",0,FALSE,FALSE,NA,NA
"8","RT @_SJPeace_: Mohammad, Anwar- a frontline HERO was killed in an attempted car hijacking by 2 teenage girls

This 66 year old man immigrat…",FALSE,0,NA,2021-03-28 18:27:23,FALSE,NA,"1376239510753734659",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","woomywinwin",2516,TRUE,FALSE,NA,NA
"9","RT @CassandraRules: ICYMI: CNN Refers to Two Black Teen Girls Murdering Uber Eats Driver in DC as 'An Accident' https://t.co/mFSUnGeXBx",FALSE,0,NA,2021-03-28 18:27:21,FALSE,NA,"1376239504349143040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kimmiintx",22,TRUE,FALSE,NA,NA
"10","@Odunadekolade #StarPrince sir i want to buy a fairly used car for uber business..av just been laid off from my dri… https://t.co/zR9JsXTpg8",FALSE,0,"Odunadekolade",2021-03-28 18:27:21,TRUE,"1376234994201460738","1376239503296303107","1084746911003918336","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alujo8",0,FALSE,FALSE,NA,NA
"11","RT @itsayaaani: A gruesome video is circulating of the murder of an Uber Eats driver during a car highjacking. His name is Mohammad Anwar,…",FALSE,0,NA,2021-03-28 18:27:21,FALSE,NA,"1376239502151143424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","korpse_kid",331,TRUE,FALSE,NA,NA
"12","@RasuShrestha @HealthEugene @Facebook @Uber @Microsoft @verge @meganranney @CatchTheBaby @TomVargheseJr @iamritu… https://t.co/ZaDZxUHHBC",FALSE,0,"RasuShrestha",2021-03-28 18:27:20,TRUE,"1376190761239244804","1376239500939104256","415507521","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfAmyE",0,FALSE,FALSE,NA,NA
"13","RT @RobertPLewis: If you’re paying attention to the comments being made about the 2 black teens in DC who murdered a Pakistani Uber eats dr…",FALSE,0,NA,2021-03-28 18:27:20,FALSE,NA,"1376239500389707782",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KAG4Youtoo",108,TRUE,FALSE,NA,NA
